 1 ,        1 , 100.00 ,   3.77
 1 ,       10 ,  50.00 ,  26.11
 1 ,      100 ,  55.00 ,  50.26
 1 ,     1000 ,  56.20 ,  46.05
 1 ,    10000 ,  56.76 ,  45.87
 1 ,   100000 ,  57.11 ,  43.90
 1 ,   500000 ,  57.14 ,  44.21
 1 ,  1000000 ,  57.07 ,  44.72
 2 ,        1 , 100.00 ,   1.57
 2 ,       10 ,  50.00 ,  12.63
 2 ,      100 ,  64.00 ,  65.03
 2 ,     1000 ,  54.00 ,  90.74
 2 ,    10000 ,  57.17 ,  91.64
 2 ,   100000 ,  57.04 ,  90.99
 2 ,   500000 ,  56.94 ,  89.02
 2 ,  1000000 ,  56.95 ,  88.61
 4 ,        1 , 100.00 ,   1.00
 4 ,       10 ,  50.00 ,   7.47
 4 ,      100 ,  56.00 ,  71.12
 4 ,     1000 ,  57.80 , 161.82
 4 ,    10000 ,  57.36 , 180.68
 4 ,   100000 ,  57.18 , 180.00
 4 ,   500000 ,  57.09 , 177.99
 4 ,  1000000 ,  57.00 , 179.96
 8 ,        1 , 100.00 ,   0.00
 8 ,       10 ,  40.00 ,   0.01
 8 ,      100 ,  56.00 ,   0.05
 8 ,     1000 ,  58.40 ,   0.53
 8 ,    10000 ,  58.11 ,   6.91
 8 ,   100000 ,  57.26 ,  37.70
 8 ,   500000 ,  57.06 ,  91.79
 8 ,  1000000 ,  57.00 , 124.21
12 ,        1 , 100.00 ,   0.02
12 ,       10 ,  80.00 ,   0.34
12 ,      100 ,  55.00 ,   2.95
12 ,     1000 ,  54.80 ,  24.40
12 ,    10000 ,  57.12 , 114.06
12 ,   100000 ,  57.23 , 172.04
12 ,   500000 ,  56.95 , 177.84
12 ,  1000000 ,  56.96 , 178.91
16 ,        1 , 100.00 ,   0.02
16 ,       10 ,  60.00 ,   0.18
16 ,      100 ,  60.00 ,   2.10
16 ,     1000 ,  54.30 ,  18.88
16 ,    10000 ,  56.29 , 112.06
16 ,   100000 ,  56.92 , 164.33
16 ,   500000 ,  56.92 , 177.24
16 ,  1000000 ,  56.98 , 178.80
20 ,        1 , 100.00 ,   0.02
20 ,       10 ,  70.00 ,   0.16
20 ,      100 ,  51.00 ,   1.76
20 ,     1000 ,  56.90 ,  16.03
20 ,    10000 ,  56.79 ,  72.38
20 ,   100000 ,  56.77 , 181.88
20 ,   500000 ,  56.98 , 168.64
20 ,  1000000 ,  57.00 , 210.89
